City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Condition,Date
0,Georgetown,MY,5.41,100.34,80.6,94,20,2.24,few clouds,2020-07-31 01:09:04
1,Arraial Do Cabo,BR,-22.97,-42.03,67.41,81,100,14.81,overcast clouds,2020-07-31 01:13:31
2,Punta Arenas,CL,-53.15,-70.92,35.6,93,100,14.99,overcast clouds,2020-07-31 01:13:31
3,Sinnamary,GF,5.38,-52.95,78.57,80,17,4.85,few clouds,2020-07-31 01:13:31
4,Zarubino,RU,42.63,131.09,74.05,78,81,4.72,broken clouds,2020-07-31 01:13:31
5,San Angelo,US,31.46,-100.44,96.8,32,1,16.11,clear sky,2020-07-31 01:11:12
6,Vaini,TO,-21.2,-175.2,75.2,69,40,13.87,scattered clouds,2020-07-31 01:13:31
7,Ushuaia,AR,-54.8,-68.3,33.8,74,20,5.82,few clouds,2020-07-31 01:13:31
8,Sur,OM,22.57,59.53,90.07,57,23,5.17,few clouds,2020-07-31 01:13:31
9,Olafsvik,IS,64.89,-23.71,50.58,76,100,8.75,overcast clouds,2020-07-31 01:13:31
10,Zhigansk,RU,66.77,123.37,58.32,60,0,12.57,clear sky,2020-07-31 01:13:31
11,Dongtai,CN,32.85,120.31,78.75,94,100,3.62,moderate rain,2020-07-31 01:15:16
12,Benguela,AO,-12.58,13.41,68.52,86,0,5.61,clear sky,2020-07-31 01:18:58
13,Avarua,CK,-21.21,-159.78,71.6,56,100,4.7,overcast clouds,2020-07-31 01:12:14
14,Butaritari,KI,3.07,172.79,82.94,74,91,8.99,light rain,2020-07-31 01:13:32
15,Busselton,AU,-33.65,115.33,52.0,100,14,3.69,few clouds,2020-07-31 01:13:32
16,Yeppoon,AU,-23.13,150.73,69.8,46,37,13.87,scattered clouds,2020-07-31 01:13:32
17,Vila Do Maio,CV,15.13,-23.22,78.8,74,75,11.41,broken clouds,2020-07-31 01:13:32
18,Albany,US,42.6,-73.97,77.0,57,61,1.99,broken clouds,2020-07-31 01:13:32
19,Wangaratta,AU,-36.37,146.33,51.01,75,0,3.36,clear sky,2020-07-31 01:13:32
20,Hasaki,JP,35.73,140.83,77.0,100,75,2.24,shower rain,2020-07-31 01:13:32
21,Okhotsk,RU,59.38,143.3,64.74,48,0,2.19,clear sky,2020-07-31 01:13:33
22,Fortuna,US,40.6,-124.16,66.0,82,3,3.0,clear sky,2020-07-31 01:18:58
23,Warmbad,NA,-28.45,18.73,57.04,34,0,8.66,clear sky,2020-07-31 01:18:59
24,Kysyl-Syr,RU,63.9,122.76,69.6,51,0,4.36,clear sky,2020-07-31 01:18:59
25,Kaitangata,NZ,-46.28,169.85,57.0,65,82,4.0,broken clouds,2020-07-31 01:18:59
26,Pevek,RU,69.7,170.31,36.19,97,100,9.4,light rain,2020-07-31 01:18:59
27,Bethel,US,41.37,-73.41,75.2,88,1,4.09,clear sky,2020-07-31 01:09:26
28,Tefe,BR,-3.35,-64.71,73.81,60,0,1.77,clear sky,2020-07-31 01:13:33
29,Khatanga,RU,71.97,102.5,68.02,39,1,14.56,clear sky,2020-07-31 01:13:33
30,Rikitea,PF,-23.12,-134.97,73.31,89,100,11.05,overcast clouds,2020-07-31 01:13:33
31,Ranau,MY,5.95,116.66,78.8,88,20,2.24,few clouds,2020-07-31 01:11:15
32,Ribeira Grande,PT,38.52,-28.7,70.12,74,13,11.95,few clouds,2020-07-31 01:13:34
33,Padrauna,IN,26.9,83.98,78.8,100,75,6.93,thunderstorm with light rain,2020-07-31 01:18:59
34,Cape Town,ZA,-33.93,18.42,50.0,87,0,3.36,clear sky,2020-07-31 01:14:14
35,La Ronge,CA,55.1,-105.28,75.2,60,75,9.17,broken clouds,2020-07-31 01:19:00
36,Atuona,PF,-9.8,-139.03,79.0,73,28,16.49,scattered clouds,2020-07-31 01:19:00
37,Itaqui,BR,-29.13,-56.55,49.51,93,0,7.09,clear sky,2020-07-31 01:19:00
38,Ancud,CL,-41.87,-73.82,48.0,93,90,11.41,overcast clouds,2020-07-31 01:19:00
39,Jamestown,US,42.1,-79.24,71.6,60,1,3.36,clear sky,2020-07-31 01:13:34
40,Mumbwa,ZM,-14.98,27.06,53.82,62,0,4.63,clear sky,2020-07-31 01:13:34
41,Saldanha,ZA,-33.01,17.94,48.2,87,0,3.36,clear sky,2020-07-31 01:13:34
42,Port Elizabeth,ZA,-33.92,25.57,53.6,87,0,5.82,clear sky,2020-07-31 01:13:35
43,Provideniya,RU,64.38,-173.3,50.0,76,75,15.66,broken clouds,2020-07-31 01:13:35
44,Barrow,US,71.29,-156.79,37.4,93,90,8.05,overcast clouds,2020-07-31 01:10:01
45,Nanortalik,GL,60.14,-45.24,43.63,89,100,5.32,overcast clouds,2020-07-31 01:13:35
46,Turek,PL,52.02,18.5,55.0,85,0,2.42,clear sky,2020-07-31 01:13:35
47,Lasa,IT,46.62,10.7,64.0,93,20,4.7,few clouds,2020-07-31 01:13:35
48,Hirara,JP,24.8,125.28,89.6,70,75,14.99,broken clouds,2020-07-31 01:13:35
49,Arlit,NE,18.74,7.39,93.65,12,6,4.61,clear sky,2020-07-31 01:13:35
50,Olenino,RU,56.21,33.49,49.41,97,40,7.34,scattered clouds,2020-07-31 01:13:35
51,Mar Del Plata,AR,-38.0,-57.56,46.99,87,0,13.87,clear sky,2020-07-31 01:13:35
52,Murgab,TM,37.5,61.97,82.4,45,40,11.41,scattered clouds,2020-07-31 01:13:35
53,Katangli,RU,51.71,143.23,57.22,88,100,9.44,overcast clouds,2020-07-31 01:13:36
54,Tazovskiy,RU,67.47,78.7,53.35,99,100,6.73,light rain,2020-07-31 01:13:36
55,Moose Factory,CA,51.26,-80.61,71.6,78,20,2.24,few clouds,2020-07-31 01:13:36
56,Tasiilaq,GL,65.61,-37.64,44.6,70,8,3.71,clear sky,2020-07-31 01:13:36
57,Asino,RU,57.0,86.15,56.25,89,0,4.0,clear sky,2020-07-31 01:13:36
58,Tautira,PF,-17.73,-149.15,82.4,74,75,8.05,broken clouds,2020-07-31 01:13:36
59,Norman Wells,CA,65.28,-126.83,75.2,50,40,8.05,scattered clouds,2020-07-31 01:12:13
60,Yar-Sale,RU,66.83,70.83,54.93,77,0,4.18,clear sky,2020-07-31 01:13:36
61,El Naranjo,MX,21.47,-98.6,79.36,87,94,4.65,moderate rain,2020-07-31 01:13:36
62,Luderitz,NA,-26.65,15.16,78.8,15,0,16.11,clear sky,2020-07-31 01:13:36
63,Chuy,UY,-33.7,-53.46,45.63,88,0,8.59,clear sky,2020-07-31 01:13:36
64,Berezna,UA,51.57,31.78,57.78,92,97,5.44,overcast clouds,2020-07-31 01:13:37
65,Trang,TH,7.5,99.5,77.0,100,20,2.24,few clouds,2020-07-31 01:13:37
