City_ID,City,Country,Max Temp,Weather Condition,Lat,Lng,Hotel Name
0,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
1,Arraial Do Cabo,BR,67.41,overcast clouds,-22.97,-42.03,Pousada Porto Praia
2,Punta Arenas,CL,35.6,overcast clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
3,Sinnamary,GF,78.57,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
4,Zarubino,RU,74.05,broken clouds,42.63,131.09,"Okean, Baza Otdykha"
5,San Angelo,US,96.8,clear sky,31.46,-100.44,"Motel 6 San Angelo, TX"
6,Vaini,TO,75.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
7,Ushuaia,AR,33.8,few clouds,-54.8,-68.3,Albatros Hotel
8,Sur,OM,90.07,few clouds,22.57,59.53,Sur Plaza Hotel
9,Olafsvik,IS,50.58,overcast clouds,64.89,-23.71,Hotel Olafsvik
10,Zhigansk,RU,58.32,clear sky,66.77,123.37,Gostinichnyy Kompleks Aylgy
11,Dongtai,CN,78.75,moderate rain,32.85,120.31,Super 8 Dongtai South Hailing Road
12,Benguela,AO,68.52,clear sky,-12.58,13.41,Hotel Praia Morena
13,Avarua,CK,71.6,overcast clouds,-21.21,-159.78,Paradise Inn
14,Butaritari,KI,82.94,light rain,3.07,172.79,Isles Sunset Lodge
15,Busselton,AU,52.0,few clouds,-33.65,115.33,Observatory Guest House
16,Yeppoon,AU,69.8,scattered clouds,-23.13,150.73,Villa Mar Colina
17,Vila Do Maio,CV,78.8,broken clouds,15.13,-23.22,Residence 'I Delfini'
18,Albany,US,77.0,broken clouds,42.6,-73.97,np.nan
19,Wangaratta,AU,51.01,clear sky,-36.37,146.33,Quality Hotel Wangaratta Gateway
20,Hasaki,JP,77.0,shower rain,35.73,140.83,Inubosaki Kanko Hotel
21,Okhotsk,RU,64.74,clear sky,59.38,143.3,np.nan
22,Fortuna,US,66.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
24,Kysyl-Syr,RU,69.6,clear sky,63.9,122.76,np.nan
25,Kaitangata,NZ,57.0,broken clouds,-46.28,169.85,Kaitangata Motor Camp
26,Pevek,RU,36.19,light rain,69.7,170.31,Severnoye Zoloto
27,Bethel,US,75.2,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
28,Tefe,BR,73.81,clear sky,-3.35,-64.71,Aracati Hotel
29,Khatanga,RU,68.02,clear sky,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
30,Rikitea,PF,73.31,overcast clouds,-23.12,-134.97,Pension Maro'i
31,Ranau,MY,78.8,few clouds,5.95,116.66,Ranau Backpackers Hostel
32,Ribeira Grande,PT,70.12,few clouds,38.52,-28.7,Quinta da Meia Eira
33,Padrauna,IN,78.8,thunderstorm with light rain,26.9,83.98,Hotel Sky Lark
34,Cape Town,ZA,50.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
35,La Ronge,CA,75.2,broken clouds,55.1,-105.28,Northland Motor Hotel
36,Atuona,PF,79.0,scattered clouds,-9.8,-139.03,Villa Enata
37,Itaqui,BR,49.51,clear sky,-29.13,-56.55,Biasi
38,Ancud,CL,48.0,overcast clouds,-41.87,-73.82,Hotel Arena Gruesa
39,Jamestown,US,71.6,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
40,Mumbwa,ZM,53.82,clear sky,-14.98,27.06,Mumbwa Motel
41,Saldanha,ZA,48.2,clear sky,-33.01,17.94,Blue Bay Lodge
42,Port Elizabeth,ZA,53.6,clear sky,-33.92,25.57,39 On Nile Guest House
43,Provideniya,RU,50.0,broken clouds,64.38,-173.3,np.nan
44,Barrow,US,37.4,overcast clouds,71.29,-156.79,King Eider Inn
45,Nanortalik,GL,43.63,overcast clouds,60.14,-45.24,"NTS Rooms, Nanortalik"
46,Turek,PL,55.0,clear sky,52.02,18.5,Polbau GmbH Sp. z o.o.
47,Lasa,IT,64.0,few clouds,46.62,10.7,Pension Feldgärtenhof
48,Hirara,JP,89.6,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
49,Arlit,NE,93.65,clear sky,18.74,7.39,Hôtel Telwa Bungalow
50,Olenino,RU,49.41,scattered clouds,56.21,33.49,Kolos
51,Mar Del Plata,AR,46.99,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
52,Murgab,TM,82.4,scattered clouds,37.5,61.97,np.nan
53,Katangli,RU,57.22,overcast clouds,51.71,143.23,np.nan
54,Tazovskiy,RU,53.35,light rain,67.47,78.7,TazHostel
55,Moose Factory,CA,71.6,few clouds,51.26,-80.61,Cree Village Eco Lodge
56,Tasiilaq,GL,44.6,clear sky,65.61,-37.64,The Red House
57,Asino,RU,56.25,clear sky,57.0,86.15,Raduga
58,Tautira,PF,82.4,broken clouds,-17.73,-149.15,Pension Oaoa
59,Norman Wells,CA,75.2,scattered clouds,65.28,-126.83,Heritage Hotel
60,Yar-Sale,RU,54.93,clear sky,66.83,70.83,Yalemd
61,El Naranjo,MX,79.36,moderate rain,21.47,-98.6,np.nan
63,Chuy,UY,45.63,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
64,Berezna,UA,57.78,overcast clouds,51.57,31.78,np.nan
65,Trang,TH,77.0,few clouds,7.5,99.5,Jelly's House
66,Komsomolets,KZ,61.93,few clouds,53.75,62.07,Avtostoyanka
67,Weyburn,CA,91.0,clear sky,49.67,-103.85,Perfect Inns & Suites
68,Port Macquarie,AU,61.0,light rain,-31.43,152.92,Rydges Port Macquarie
69,Kodiak,US,62.6,broken clouds,57.79,-152.41,Best Western Kodiak Inn and Convention Center
70,Caravelas,BR,71.37,clear sky,-17.71,-39.25,Pousada dos Navegantes
71,New Norfolk,AU,55.0,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
72,Sernur,RU,55.83,scattered clouds,56.93,49.15,Gostinnitsa Podvor'ye
73,Saskylakh,RU,61.63,clear sky,71.92,114.08,np.nan
74,Bambous Virieux,MU,69.8,broken clouds,-20.34,57.76,Casa Tia Villa
75,Tias,ES,73.4,overcast clouds,28.96,-13.64,Hotel Beatriz Playa & SPA
76,Coruripe,BR,72.73,light rain,-10.13,-36.18,Pousada e Hotel Litoral Sul
77,Bilibino,RU,52.2,overcast clouds,68.05,166.44,Gostinitsa Severyanka
78,Umkomaas,ZA,68.0,clear sky,-30.21,30.8,Umkomaas Guest House
79,Gewane,ET,74.07,heavy intensity rain,10.17,40.65,np.nan
80,Saint George,US,108.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
81,Dzerzhinskoye,RU,59.86,overcast clouds,56.83,95.23,Kolos
82,Guerrero Negro,MX,75.13,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
83,Bredasdorp,ZA,50.0,clear sky,-34.53,20.04,Bredasdorp Country Manor
84,Seoul,KR,80.6,clear sky,37.57,126.98,LOTTE HOTEL SEOUL
85,Manzhouli,CN,71.01,light rain,49.6,117.43,Angala International Youth Hostel
86,Castro,BR,48.34,broken clouds,-24.79,-50.01,CHACARA BAILLY
87,Manicore,BR,73.4,few clouds,-5.81,-61.3,Pousada da wanda
