City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2020-07-28 21:29:36,-34.53,20.04,50.0,87,0,5.82
1,Kaitangata,NZ,2020-07-28 21:29:36,-46.28,169.85,51.01,56,57,1.99
2,Belmonte,BR,2020-07-28 21:29:36,-15.86,-38.88,73.4,69,20,8.05
3,Mehamn,NO,2020-07-28 21:29:36,71.04,27.85,57.2,87,34,1.12
4,Bodden Town,KY,2020-07-28 21:29:36,19.28,-81.25,89.6,66,20,13.87
5,Yellowknife,CA,2020-07-28 21:29:36,62.46,-114.35,73.4,43,40,10.29
6,Kapaa,US,2020-07-28 21:29:36,22.08,-159.32,80.6,78,75,16.11
7,Bluff,NZ,2020-07-28 21:29:36,-46.6,168.33,46.0,83,79,3.0
8,Pevek,RU,2020-07-28 21:29:37,69.7,170.31,35.2,87,100,9.98
9,Longyearbyen,SJ,2020-07-28 21:24:46,78.22,15.64,60.8,63,100,6.93
10,Hamilton,US,2020-07-28 21:25:17,39.18,-84.53,89.01,48,1,9.17
11,Hermanus,ZA,2020-07-28 21:26:59,-34.42,19.23,48.0,94,3,4.43
12,Lopsmarka,NO,2020-07-28 21:29:38,67.31,14.45,64.0,67,40,12.75
13,Ban Nahin,LA,2020-07-28 21:29:38,18.24,104.21,76.77,81,100,1.72
14,Maldonado,UY,2020-07-28 21:25:44,-34.67,-54.92,46.99,61,20,13.87
15,Port Alfred,ZA,2020-07-28 21:29:38,-33.59,26.89,60.84,74,2,8.75
16,Cape Town,ZA,2020-07-28 21:25:45,-33.93,18.42,55.99,76,0,9.17
17,Hobart,AU,2020-07-28 21:28:12,-42.88,147.33,42.8,81,75,9.17
18,Jamestown,US,2020-07-28 21:27:43,42.1,-79.24,79.0,50,1,16.11
19,Cabedelo,BR,2020-07-28 21:29:38,-6.98,-34.83,75.2,83,20,5.82
20,Peleduy,RU,2020-07-28 21:29:38,59.63,112.74,55.58,93,100,1.43
21,Punta Arenas,CL,2020-07-28 21:29:12,-53.15,-70.92,39.2,64,30,11.41
22,Slave Lake,CA,2020-07-28 21:29:39,55.28,-114.77,75.2,60,1,9.17
23,Redwater,US,2020-07-28 21:29:39,33.36,-94.25,91.0,55,1,8.05
24,Lavrentiya,RU,2020-07-28 21:29:39,65.58,-171.0,46.58,75,94,5.5
25,Bundaberg,AU,2020-07-28 21:29:39,-24.85,152.35,55.99,81,0,4.7
26,Hithadhoo,MV,2020-07-28 21:29:39,-0.6,73.08,82.56,76,94,11.18
27,Qaanaaq,GL,2020-07-28 21:29:39,77.48,-69.36,45.41,68,12,5.03
28,Leshukonskoye,RU,2020-07-28 21:29:39,64.9,45.76,55.54,93,10,2.21
29,East London,ZA,2020-07-28 21:29:39,-33.02,27.91,64.18,66,0,14.94
30,Hovd,MN,2020-07-28 21:29:39,48.01,91.64,56.66,71,0,0.56
31,Keokuk,US,2020-07-28 21:29:39,40.4,-91.38,86.0,48,1,8.05
32,Ushuaia,AR,2020-07-28 21:29:40,-54.8,-68.3,35.6,94,75,34.45
33,Georgetown,MY,2020-07-28 21:29:40,5.41,100.34,80.6,88,40,5.82
34,Bouna,CI,2020-07-28 21:29:40,9.27,-3.0,72.75,87,100,4.16
35,Katsuura,JP,2020-07-28 21:29:40,35.13,140.3,73.0,94,75,9.17
36,Rikitea,PF,2020-07-28 21:29:40,-23.12,-134.97,72.34,78,96,17.54
37,Dikson,RU,2020-07-28 21:29:40,73.51,80.55,43.16,83,96,16.75
38,Coihaique,CL,2020-07-28 21:29:40,-45.58,-72.07,41.0,60,50,6.49
39,Atambua,ID,2020-07-28 21:29:40,-9.11,124.89,64.69,84,33,5.86
40,Simao,CN,2020-07-28 21:29:40,22.79,100.97,63.18,94,52,0.4
41,Albany,US,2020-07-28 21:29:40,42.6,-73.97,84.0,46,100,8.59
42,Vaini,TO,2020-07-28 21:29:40,-21.2,-175.2,71.6,73,40,19.46
43,Mataura,NZ,2020-07-28 21:29:40,-46.19,168.86,46.0,83,52,3.0
44,Aykhal,RU,2020-07-28 21:29:41,66.0,111.5,48.2,76,90,8.99
45,Quatre Cocos,MU,2020-07-28 21:29:41,-20.21,57.76,69.8,83,40,8.05
46,Flinders,AU,2020-07-28 21:29:41,-34.58,150.86,53.01,85,81,1.01
47,Chukhloma,RU,2020-07-28 21:29:41,58.75,42.68,59.22,87,69,2.51
48,Isangel,VU,2020-07-28 21:29:41,-19.55,169.27,75.2,69,68,11.41
49,Skibbereen,IE,2020-07-28 21:29:41,51.55,-9.27,55.4,71,20,10.29
50,Hilo,US,2020-07-28 21:29:41,19.73,-155.09,84.2,58,1,8.05
51,Thompson,CA,2020-07-28 21:28:36,55.74,-97.86,68.0,68,40,8.05
52,Sao Filipe,CV,2020-07-28 21:29:41,14.9,-24.5,77.74,82,82,7.81
53,Yabelo,ET,2020-07-28 21:29:41,4.88,38.08,60.33,83,100,7.05
54,Ponta Do Sol,PT,2020-07-28 21:29:42,32.67,-17.1,73.4,69,40,14.99
55,Los Llanos De Aridane,ES,2020-07-28 21:29:42,28.66,-17.92,73.4,73,75,18.34
56,Ribeira Grande,PT,2020-07-28 21:29:42,38.52,-28.7,75.2,88,40,4.7
57,Kahului,US,2020-07-28 21:29:42,20.89,-156.47,87.8,48,40,20.8
58,Butaritari,KI,2020-07-28 21:29:42,3.07,172.79,79.32,88,100,11.48
59,Yichang,CN,2020-07-28 21:29:42,30.71,111.28,75.0,84,42,1.19
